"namespace_of_classname","classname","namespace_of_property","property_name","column_name_of_property_value","property_value","pbr_metallic_roughness_base_color","pbr_metallic_roughness_metallic_roughness"
bldg,Building,,,,,#8FBCC4FF,
bldg,BuildingConstructiveElement,,,,,#E93895FF,
bldg,BuildingFurniture,,,,,#E67322FF,
bldg,BuildingInstallation,,,,,#E67322FF,
bldg,BuildingPart,,,,,#8FBCC4FF,
bldg,BuildingRoom,,,,,#22A1E6FF,
bldg,BuildingUnit,,,,,#77719EFF,
bldg,Storey,,,,,#6B27E4FF,
brid,Bridge,,,,,#2F4F4FFF,
brid,BridgeConstructiveElement,,,,,#C0C0C0FF,
brid,BridgeFurniture,,,,,#4169E1FF,
brid,BridgeInstallation,,,,,#A0522DFF,
brid,BridgePart,,,,,#5F9EA0FF,
brid,BridgeRoom,,,,,#FFF8DCFF,
con,CeilingSurface,,,,,#804141FF,
con,Door,,,,,#7D6B44FF,
con,DoorSurface,,,,,#7D6B44FF,
con,FloorSurface,,,,,#616161FF,
con,GroundSurface,,,,,#616161FF,
con,InteriorWallSurface,,,,,#C4B08FFF,
con,OtherConstruction,,,,,#646464FF,
con,OuterCeilingSurface,,,,,#804141FF,
con,OuterFloorSurface,,,,,#73697AFF,
con,RoofSurface,,,,,#942842FF,
con,Window,,,,,#7ED3DDFF,
con,WindowSurface,,,,,#7ED3DD66,
core,ClosureSurface,,,,,#7ED3DDFF,
dem,BreaklineRelief,,,,,#616161FF,
dem,MassPointRelief,,,,,#616161FF,
dem,RasterRelief,,,,,#616161FF,
dem,ReliefFeature,,,,,#616161FF,
dem,TINRelief,,,,,#43FF64FF,
frn,CityFurniture,,,,,#B0C4DEFF,
gen,GenericLogicalSpace,,,,,#80414180,
gen,GenericOccupiedSpace,,,,,#25928180,
gen,GenericThematicSurface,,,,,#C4B08FFF,
gen,GenericUnoccupiedSpace,,,,,#0064FF80,
luse,LandUse,,,,,#616161FF,
tran,AuxiliaryTrafficArea,gen,opendrive_lane_type,val_string,BORDER,#F3A411FF,
tran,AuxiliaryTrafficArea,gen,opendrive_lane_type,val_string,MEDIAN,#15520DFF,
tran,AuxiliaryTrafficArea,gen,opendrive_lane_type,val_string,RESTRICTED,#961900FF,
tran,AuxiliaryTrafficArea,,,,,#C80000FF,
tran,AuxiliaryTrafficSpace,,,,,#65946080,
tran,AuxiliaryTrafficSpace,gen,opendrive_lane_type,val_string,BORDER,#F3A41180,
tran,AuxiliaryTrafficSpace,gen,opendrive_lane_type,val_string,MEDIAN,#15520D80,
tran,AuxiliaryTrafficSpace,gen,opendrive_lane_type,val_string,RESTRICTED,#96190080,
tran,ClearanceSpace,,,,,#0064FF80,
tran,Hole,,,,,#7ED3DDFF,
tran,HoleSurface,,,,,#919191FF,
tran,Intersection,,,,,#645462FF,
tran,Marking,,,,,#F0F0F0FF,
tran,Railway,,,,,#6B689FFF,
tran,Road,,,,,#919191FF,
tran,Section,,,,,#919191FF,
tran,Square,,,,,#9D24F3FF,
tran,Track,,,,,#0F5611FF,
tran,TrafficArea,gen,opendrive_lane_type,val_string,DRIVING,#646464FF,
tran,TrafficArea,gen,opendrive_lane_type,val_string,SHOULDER,#647878FF,
tran,TrafficArea,gen,opendrive_lane_type,val_string,BIKING,#0064C8FF,
tran,TrafficArea,gen,opendrive_lane_type,val_string,RAIL,#7D9696FF,
tran,TrafficArea,gen,opendrive_lane_type,val_string,SIDEWALK,#C8AF96FF,
tran,TrafficArea,gen,opendrive_lane_type,val_string,PARKING,#4146CCFF,
tran,TrafficArea,,,,,#95A4B0FF,
tran,TrafficSpace,,,,,#0064FF80,
tran,TrafficSpace,gen,opendrive_lane_type,val_string,DRIVING,#64646480,
tran,TrafficSpace,gen,opendrive_lane_type,val_string,SHOULDER,#64787880,
tran,TrafficSpace,gen,opendrive_lane_type,val_string,BIKING,#0064C880,
tran,TrafficSpace,gen,opendrive_lane_type,val_string,RAIL,#7D969680,
tran,TrafficSpace,gen,opendrive_lane_type,val_string,SIDEWALK,#C8AF9680,
tran,TrafficSpace,gen,opendrive_lane_type,val_string,PARKING,#4146CC80,
tran,Waterway,,,,,#99F2F3FF,
tun,HollowSpace,,,,,#7ED3DDFF,
tun,Tunnel,,,,,#9D24F3FF,
tun,TunnelConstructiveElement,,,,,#D53FF3FF,
tun,TunnelFurniture,,,,,#F397A9FF,
tun,TunnelInstallation,,,,,#F3B2AFFF,
tun,TunnelPart,,,,,#9D24F3FF,
veg,PlantCover,,,,,#0F5611FF,
veg,SolitaryVegetationObject,,,,,#0F5611FF,
veg,PlantCover,,,,,#53F344FF,
wtr,WaterBody,,,,,#99F2F3FF,
wtr,WaterGroundSurface,,,,,#97F3D7FF,
wtr,WaterSurface,,,,,#70BFF3FF,
,anything_else,,,,,#7D6B44FF,
con,WallSurface,,,,,#FFFF00,
